# soak.py — pont Telegram (pont.py), premiere instance publique du harnais
# debut_utc	2026-09-22T12:05:24Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T14:24:24Z	8340	781853	1	19924	30244	1	4	0	5695	0	0	0.00	
2026-09-22T14:25:24Z	8400	781853	1	19924	30244	1	4	0	5695	0	0	0.00	
2026-09-22T14:26:24Z	8460	781853	1	19924	30244	1	4	0	5695	0	0	0.00	
2026-09-22T14:27:24Z	8520	781853	1	19816	30244	1	4	0	5696	0	0	0.00	
2026-09-22T14:28:24Z	8580	781853	1	19520	30244	1	4	0	5696	0	0	0.00	
2026-09-22T14:29:24Z	8640	781853	1	17424	30244	1	4	0	5696	0	0	0.07	
2026-09-22T14:30:24Z	8700	781853	1	18308	30244	1	4	0	5698	0	0	0.02	
2026-09-22T14:31:24Z	8760	781853	1	18064	30244	1	4	0	5699	0	0	0.08	
2026-09-22T14:32:24Z	8820	781853	1	16736	30244	1	4	0	5699	0	0	0.11	
2026-09-22T14:33:24Z	8880	781853	1	15612	30244	1	4	0	5700	0	0	0.04	
