# soak.py — pont Telegram (pont.py) — relance dans tmux apres mort du premier soak a 2h28
# debut_utc	2026-09-22T15:04:03Z
# duree_demandee_h	720.00
# fin_prevue_utc	2026-10-22T15:04:03Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T17:15:03Z	7860	781853	1	18984	30244	1	4	0	6095	0	0	0.01	
2026-09-22T17:16:03Z	7920	781853	1	18984	30244	1	4	0	6095	0	0	0.00	
2026-09-22T17:17:03Z	7980	781853	1	18984	30244	1	4	0	6095	0	0	0.00	
2026-09-22T17:18:03Z	8040	781853	1	18984	30244	1	4	0	6096	0	0	0.08	
2026-09-22T17:19:03Z	8100	781853	1	18984	30244	1	4	0	6096	0	0	0.03	
2026-09-22T17:20:03Z	8160	781853	1	18984	30244	1	4	0	6097	0	0	0.01	
2026-09-22T17:21:03Z	8220	781853	1	18984	30244	1	4	0	6098	0	0	0.00	
2026-09-22T17:22:03Z	8280	781853	1	18984	30244	1	4	0	6098	0	0	0.00	
2026-09-22T17:23:03Z	8340	781853	1	18984	30244	1	4	0	6098	0	0	0.16	
2026-09-22T17:24:03Z	8400	781853	1	18984	30244	1	4	0	6099	0	0	0.06	
2026-09-22T17:25:03Z	8460	781853	1	18984	30244	1	4	0	6099	0	0	0.02	
2026-09-22T17:26:03Z	8520	781853	1	18984	30244	1	4	0	6099	0	0	0.00	
2026-09-22T17:27:03Z	8580	781853	1	18984	30244	1	4	0	6100	0	0	0.00	
2026-09-22T17:28:03Z	8640	781853	1	18984	30244	1	4	0	6100	0	0	0.24	
2026-09-22T17:29:03Z	8700	781853	1	18984	30244	1	4	0	6101	0	0	0.09	
2026-09-22T17:30:03Z	8760	781853	1	18984	30244	1	4	0	6101	0	0	0.08	
2026-09-22T17:31:03Z	8820	781853	1	18984	30244	1	4	0	6102	0	0	0.03	
2026-09-22T17:32:03Z	8880	781853	1	18984	30244	1	4	0	6102	0	0	0.01	
2026-09-22T17:33:03Z	8940	781853	1	18984	30244	1	4	0	6102	0	0	0.04	
2026-09-22T17:34:03Z	9000	781853	1	18984	30244	1	4	0	6103	0	0	0.01	
2026-09-22T17:35:03Z	9060	781853	1	18984	30244	1	4	0	6104	0	0	0.05	
2026-09-22T17:36:03Z	9120	781853	1	18984	30244	1	4	0	6105	0	0	0.02	
2026-09-22T17:37:03Z	9180	781853	1	18984	30244	1	4	0	6105	0	0	0.04	
2026-09-22T17:38:03Z	9240	781853	1	18984	30244	1	4	0	6105	0	0	0.14	
